0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,angle,yarnwidth,yarnheight,space,epoxy_e,epoxy_v,yield_strength_1,plastic_strain_1,yield_strength_2,plastic_strain_2,fibre_density (kg/m^3),fibre_lineardensity (kg/m),fibre_e1,fibre_e2,fibre_e3,fibre_g12,fibre_g23,fibre_g13,fibre_v1,fibre_v2,fibre_v3,S_0,E_0,S_1,E_1,S_2,E_2,S_3,E_3,S_4,E_4,S_5,E_5,S_6,E_6,S_7,E_7,S_8,E_8,S_9,E_9,S_10,E_10,S_11,E_11,S_12,E_12,S_13,E_13,S_14,E_14,S_15,E_15,S_16,E_16,S_17,E_17,S_18,E_18,S_19,E_19,S_20,E_20
0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0.991000249,0.146285184,1.722853427,20000,0.4,3,0,600,0.3,2550,0.000290338,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,992064.28,2.50E-05,1984128.56,4.99E-05,2976009.51,7.49E-05,3937376.71,9.98E-05,4692892.69,0.0001248,5309020.11,0.0001498,5874051.12,0.0001747,6416471.01,0.0001997,6948981.11,0.0002246,7476092.09,0.0002496,7999618.33,0.0002745,8520561.89,0.0002995,9039538.85,0.0003245,9556964.77,0.0003494,10073146.23,0.0003744,10588311.21,0.0003993,11102642.22,0.0004243,11616265.53,0.0004493,12129285.72,0.0004742,12641790.1,0.0004992
1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0.55721929,0.21356172,0.977138023,20000,0.4,3,0,600,0.3,2550,0.00023833,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,957302.58,2.46E-05,1914605.16,4.91E-05,2871841.62,7.37E-05,3770036.03,9.82E-05,4438329.94,0.0001228,4966363.47,0.0001474,5442826.37,0.0001719,5895374.39,0.0001965,6335822.94,0.0002211,6770039.22,0.0002456,7200451.5,0.0002702,7628168.91,0.0002947,8053736,0.0003193,8477618.03,0.0003439,8900194.02,0.0003684,9321693.1,0.000393,9742296.51,0.0004175,10162148.01,0.0004421,10581353.01,0.0004667,11000003.01,0.0004912
1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0.545597056,0.32889709,1.052361119,20000,0.4,3,0,600,0.3,2550,0.000359387,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,910565.4,2.47E-05,1821130.81,4.94E-05,2731104.46,7.41E-05,3598544.38,9.88E-05,4302921.85,0.0001235,4841005.18,0.0001482,5297321.81,0.0001729,5726583.64,0.0001977,6145804.24,0.0002224,6559864.78,0.0002471,6970655.81,0.0002718,7379099.77,0.0002965,7785769.78,0.0003212,8191048.78,0.0003459,8595172.11,0.0003706,8998333.6,0.0003953,9400700.83,0.00042,9802397.78,0.0004447,10203532.64,0.0004694,10604188.43,0.0004941
0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0.589867665,0.129078235,1.008799794,20000,0.4,3,0,600,0.3,2550,0.000152489,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,981233.24,2.48E-05,1962466.49,4.96E-05,2943462.1,7.43E-05,3871511.46,9.91E-05,4577975.56,0.0001239,5157192.11,0.0001487,5683238.48,0.0001735,6185848.95,0.0001983,6677969.7,0.000223,7164407.49,0.0002478,7647206.52,0.0002726,8127427.97,0.0002974,8605698.78,0.0003222,9082456.7,0.0003469,9558006.12,0.0003717,10032560.68,0.0003965,10506289.32,0.0004213,10979330.98,0.0004461,11451790.38,0.0004709,11923755.49,0.0004956
0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0.771405443,0.293274904,1.385088748,20000,0.4,3,0,600,0.3,2550,0.000453093,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,947487.93,2.45E-05,1894975.86,4.91E-05,2842393.18,7.36E-05,3745294.07,9.82E-05,4456233.66,0.0001227,5015581.18,0.0001473,5509815.31,0.0001718,5977575.1,0.0001964,6434316.45,0.0002209,6885394.83,0.0002455,7332915.73,0.00027,7777944.42,0.0002946,8221085.61,0.0003191,8662744.36,0.0003437,9103213.4,0.0003682,9542719.22,0.0003928,9981432.8,0.0004173,10419483.04,0.0004418,10856966.63,0.0004664,11293960.55,0.0004909
0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0.408496494,0.342693215,0.672851262,20000,0.4,3,0,600,0.3,2550,0.000280365,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,968689.76,2.38E-05,1937379.53,4.76E-05,2905153.42,7.13E-05,3812970.63,9.51E-05,4536005.51,0.0001189,5118641.26,0.0001427,5639912.04,0.0001665,6134525.32,0.0001902,6615962.44,0.000214,7090038.72,0.0002378,7559311.34,0.0002616,8025160.21,0.0002854,8488430.61,0.0003091,8949679.25,0.0003329,9409267.27,0.0003567,9867509.29,0.0003805,10324632.39,0.0004042,10780809.27,0.000428,11236179.5,0.0004518,11690853.46,0.0004756
0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0.331912342,0.208552403,0.588910261,20000,0.4,3,0,600,0.3,2550,0.000138634,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,926829.95,2.38E-05,1853659.91,4.75E-05,2780145.95,7.13E-05,3659893.69,9.51E-05,4365240.73,0.0001189,4923461.55,0.0001426,5403645.36,0.0001664,5855278.98,0.0001902,6295066.25,0.000214,6728543.78,0.0002377,7157992.46,0.0002615,7584544.05,0.0002853,8008920.96,0.000309,8431611.71,0.0003328,8852942,0.0003566,9273148.69,0.0003804,9692406.45,0.0004041,10110861.85,0.0004279,10528636.27,0.0004517,10945830.39,0.0004755
1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0.336817242,0.127187,0.597995296,20000,0.4,3,0,600,0.3,2550,8.58E-05,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,907365.49,2.34E-05,1814730.97,4.68E-05,2722086.52,7.02E-05,3604626.32,9.36E-05,4313627.51,0.0001171,4871436.26,0.0001405,5357905.61,0.0001639,5811422.84,0.0001873,6251009.2,0.0002107,6683974.36,0.0002341,7113004.1,0.0002575,7539319.37,0.0002809,7963607.46,0.0003044,8386298.08,0.0003278,8807683.46,0.0003512,9228011.63,0.0003746,9647467.84,0.000398,10066193.75,0.0004214,10484304.09,0.0004448,10901883.73,0.0004682
0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0.801549377,0.102400231,1.381723778,20000,0.4,3,0,600,0.3,2550,0.000164385,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,980439.24,2.46E-05,1960878.48,4.92E-05,2941058.14,7.38E-05,3894986.41,9.84E-05,4645541.37,0.000123,5255871.07,0.0001476,5815211.44,0.0001722,6352611.7,0.0001969,6879979.68,0.0002215,7401723.69,0.0002461,7919807.91,0.0002707,8435336.83,0.0002953,8948886.8,0.0003199,9460882.51,0.0003445,9971645.23,0.0003691,10481388.27,0.0003937,10990292.82,0.0004183,11498494.46,0.0004429,12006103.69,0.0004675,12513198.91,0.0004921
0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0.825631613,0.233242255,1.311822773,20000,0.4,3,0,600,0.3,2550,0.000385677,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,988369.98,2.44E-05,1976739.97,4.88E-05,2965045.92,7.32E-05,3901612.23,9.76E-05,4635845.75,0.000122,5236879.25,0.0001464,5779913.77,0.0001708,6299546.31,0.0001951,6808173.7,0.0002195,7310697.16,0.0002439,7809528.07,0.0002683,8305758.62,0.0002927,8800010.39,0.0003171,9292724.29,0.0003415,9784192.09,0.0003659,10274656.83,0.0003903,10764288.46,0.0004147,11253223.64,0.0004391,11741561.04,0.0004635,12229380.26,0.0004879
0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0.223589721,0.127028556,0.414132872,20000,0.4,3,0,600,0.3,2550,5.69E-05,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,918524.21,2.41E-05,1837048.41,4.83E-05,2755223.11,7.24E-05,3628711.62,9.66E-05,4339700.48,0.0001207,4898452.16,0.0001449,5374310.06,0.000169,5821456.65,0.0001932,6257423.38,0.0002173,6687617.42,0.0002415,7114149.65,0.0002656,7538160.6,0.0002898,7960304.78,0.0003139,8380995.64,0.0003381,8800519.18,0.0003622,9219097.46,0.0003863,9636887.72,0.0004105,10054018.72,0.0004346,10470587.23,0.0004588,10886670.14,0.0004829
1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.294085744,0.214134839,0.442957498,20000,0.4,3,0,600,0.3,2550,0.000126122,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,1034503.18,2.48E-05,2069006.36,4.97E-05,3101694.04,7.45E-05,4047937.61,9.93E-05,4785134.97,0.0001242,5395289.37,0.000149,5955402.05,0.0001738,6494048.43,0.0001987,7021556.95,0.0002235,7542195.97,0.0002483,8058118.11,0.0002732,8570672.82,0.000298,9080703.04,0.0003228,9588743.57,0.0003477,10095152.87,0.0003725,10600206,0.0003973,11104126.26,0.0004222,11607088.11,0.000447,12109231.46,0.0004718,12610673.24,0.0004967
0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0.273885205,0.202918519,0.500268862,20000,0.4,3,0,600,0.3,2550,0.000111306,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,920177.43,2.40E-05,1840354.86,4.80E-05,2760307.45,7.20E-05,3632339.47,9.59E-05,4331131.78,0.0001199,4870074.86,0.0001439,5333318.46,0.0001679,5770749.18,0.0001919,6196613.19,0.0002159,6616121.6,0.0002399,7031446.52,0.0002639,7443820.65,0.0002878,7853935.8,0.0003118,8262256.3,0.0003358,8669118.87,0.0003598,9074768.88,0.0003838,9479405.16,0.0004078,9883177.24,0.0004318,10286200.66,0.0004558,10688564.96,0.0004797
1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0.635208127,0.268222207,1.181339075,20000,0.4,3,0,600,0.3,2550,0.000341225,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,928771.32,2.45E-05,1857542.64,4.91E-05,2785985.1,7.36E-05,3670322.15,9.82E-05,4360522.95,0.0001227,4905551.77,0.0001473,5377474.17,0.0001718,5819538.98,0.0001964,6250509.76,0.0002209,6675805.58,0.0002455,7097409.5,0.00027,7516332.02,0.0002946,7933234.73,0.0003191,8348573.23,0.0003437,8762670.01,0.0003682,9175745.41,0.0003928,9587965.84,0.0004173,9999470.15,0.0004419,10410363.36,0.0004664,10820735.54,0.000491
0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0.66324547,0.15688654,0.995669261,20000,0.4,3,0,600,0.3,2550,0.000208396,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,988374.05,2.41E-05,1976748.09,4.82E-05,2965097.48,7.23E-05,3914058.18,9.64E-05,4662996.1,0.0001205,5291901.15,0.0001446,5857750.38,0.0001687,6398578.65,0.0001928,6928966.24,0.0002169,7453659.77,0.000241,7974814.28,0.0002651,8493443.6,0.0002893,9010175.67,0.0003134,9525430.68,0.0003375,10039508.94,0.0003616,10552624.6,0.0003857,11064947.6,0.0004098,11576608.32,0.0004339,12087716.16,0.000458,12598339.79,0.0004821
1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0.809751863,0.378030689,1.329171632,20000,0.4,3,0,600,0.3,2550,0.000613069,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,996397.99,2.48E-05,1992795.99,4.97E-05,2988661.88,7.45E-05,3911888.4,9.93E-05,4627892.36,0.0001241,5199975.96,0.000149,5721807.52,0.0001738,6221200.35,0.0001986,6710505.87,0.0002234,7194273.63,0.0002483,7674459.06,0.0002731,8152100.68,0.0002979,8627844.03,0.0003228,9102077.01,0.0003476,9575099.25,0.0003724,10047109.74,0.0003972,10518278.58,0.0004221,10988728.05,0.0004469,11458573.23,0.0004717,11927910.37,0.0004966
1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.529343083,0.328428209,0.821708494,20000,0.4,3,0,600,0.3,2550,0.000348183,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,991208.12,2.43E-05,1982416.24,4.87E-05,2973168.34,7.30E-05,3889011.09,9.74E-05,4625267.18,0.0001217,5226839.69,0.000146,5765981.98,0.0001704,6281953.38,0.0001947,6786758.55,0.0002191,7285542.02,0.0002434,7780469.12,0.0002677,8272626.56,0.0002921,8762704.23,0.0003164,9251123.2,0.0003408,9738196.07,0.0003651,10224172.81,0.0003894,10709227.9,0.0004138,11193500.8,0.0004381,11677106.04,0.0004625,12160131.88,0.0004868
1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0.886387453,0.318074835,1.49390432,20000,0.4,3,0,600,0.3,2550,0.000564655,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,979225.03,2.48E-05,1958450.06,4.95E-05,2937462.25,7.43E-05,3863203.73,9.91E-05,4594860.61,0.0001238,5188913.73,0.0001486,5716453.7,0.0001734,6219864.29,0.0001981,6713186.31,0.0002229,7201050.42,0.0002477,7685449.38,0.0002724,8167397.18,0.0002972,8647557.31,0.000322,9126326.17,0.0003467,9603986.15,0.0003715,10080743.12,0.0003963,10556747.82,0.000421,11032121.18,0.0004458,11506964.2,0.0004706,11981355.72,0.0004953
1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.360968768,0.365876003,0.672016362,20000,0.4,3,0,600,0.3,2550,0.000264505,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,919625.01,2.38E-05,1839250.02,4.76E-05,2758351.2,7.14E-05,3636184.29,9.52E-05,4346700.49,0.000119,4888856.97,0.0001429,5364148.59,0.0001667,5812722.23,0.0001905,6249046.08,0.0002143,6678640.7,0.0002381,7103863.54,0.0002619,7525989.46,0.0002857,7945752.01,0.0003095,8363626.69,0.0003333,8779995.79,0.0003571,9195114.44,0.0003809,9609194.12,0.0004048,10022390.87,0.0004286,10434831.14,0.0004524,10846608.1,0.0004762
1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0.610080761,0.353823952,0.998809802,20000,0.4,3,0,600,0.3,2550,0.000432319,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,966001.92,2.40E-05,1932003.83,4.81E-05,2897860.54,7.21E-05,3807150.51,9.61E-05,4527879.76,0.0001201,5105854.92,0.0001442,5618042.09,0.0001682,6106625.98,0.0001922,6584292.63,0.0002163,7055746.94,0.0002403,7523130.69,0.0002643,7987683.26,0.0002883,8450127.49,0.0003124,8910919.22,0.0003364,9370371.76,0.0003604,9828716.11,0.0003845,10286131.31,0.0004085,10742760.39,0.0004325,11198713.44,0.0004565,11654085.13,0.0004806
1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0.532721556,0.374003323,1.036151905,20000,0.4,3,0,600,0.3,2550,0.00039903,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,882072.32,2.41E-05,1764144.64,4.83E-05,2645749.89,7.24E-05,3488812.54,9.65E-05,4171316.22,0.0001206,4685518.29,0.0001448,5112054.23,0.0001689,5509146.83,0.000193,5893843.72,0.0002171,6271588.79,0.0002413,6645039.45,0.0002654,7015454.53,0.0002895,7383613.79,0.0003137,7750016.45,0.0003378,8115012.97,0.0003619,8478860.48,0.000386,8841749.92,0.0004102,9203838.01,0.0004343,9565237.34,0.0004584,9926050.19,0.0004826
1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0.771761136,0.133665644,1.37002779,20000,0.4,3,0,600,0.3,2550,0.000206601,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,973083.73,2.48E-05,1946167.46,4.96E-05,2918993.85,7.45E-05,3846077.62,9.93E-05,4556088.66,0.0001241,5127760.95,0.0001489,5648752.75,0.0001737,6147941.38,0.0001985,6637361.26,0.0002234,7121030.5,0.0002482,7600967.09,0.000273,8078183.25,0.0002978,8553331.78,0.0003226,9026803.37,0.0003474,9498926.66,0.0003723,9969945.89,0.0003971,10440030.83,0.0004219,10909330.43,0.0004467,11377959.85,0.0004715,11846020.36,0.0004963
1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0.677720975,0.300917229,1.288531616,20000,0.4,3,0,600,0.3,2550,0.00040844,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,924183.41,2.48E-05,1848366.82,4.97E-05,2772071.7,7.45E-05,3650185.24,9.93E-05,4329565.9,0.0001242,4854228.06,0.000149,5312886.47,0.0001738,5743303.46,0.0001987,6161744.32,0.0002235,6573912.95,0.0002483,6982273.05,0.0002732,7388010.96,0.000298,7791802.4,0.0003228,8194076.43,0.0003477,8595124.71,0.0003725,8995170.45,0.0003974,9394374.01,0.0004222,9792865.76,0.000447,10190754.48,0.0004719,10588127.4,0.0004967
1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0.364109168,0.372510701,0.640837262,20000,0.4,3,0,600,0.3,2550,0.000271644,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,1006427.91,2.50E-05,2012855.82,4.99E-05,3018316.83,7.49E-05,3963745.63,9.99E-05,4731464.01,0.0001248,5346053.2,0.0001498,5901530.24,0.0001748,6435014.12,0.0001997,6957891.76,0.0002247,7474471.38,0.0002497,7986905.39,0.0002746,8496311.88,0.0002996,9003417.44,0.0003246,9508681.35,0.0003495,10012447.88,0.0003745,10514989.69,0.0003995,11016492.62,0.0004244,11517114.32,0.0004494,12016975.92,0.0004744,12516187.06,0.0004993
0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0.438875658,0.300934669,0.850722476,20000,0.4,3,0,600,0.3,2550,0.000264511,72000,72000,72000,30000,30000,30000,0.2,0.2,0.2,0,0,903977.45,2.47E-05,1807954.9,4.94E-05,2711150.69,7.41E-05,3569780.55,9.87E-05,4252969.34,0.0001234,4768112.31,0.0001481,5208535.04,0.0001728,5622646.13,0.0001975,6025313.15,0.0002222,6421877.11,0.0002468,6814744.52,0.0002715,7204983.49,0.0002962,7593244.57,0.0003209,7979953.88,0.0003456,8365412.54,0.0003703,8749845.68,0.000395,9133411.67,0.0004196,9516242.6,0.0004443,9898446.44,0.000469,10280106.98,0.0004937
